"","year","catch"
"1",1986,24981.001
"2",1987,23091
"3",1988,21314
"4",1989,24014.999
"5",1990,20982
"6",1991,16763
"7",1992,13616.999
"8",1993,14894.999
"9",1994,17201
"10",1995,21033
"11",1996,23333
"12",1997,22983
"13",1998,20474
"14",1999,18792
"15",2000,14451
"16",2001,17293.999
"17",2002,22083.01
"18",2003,27933.463
"19",2004,29028.001
"20",2005,27869.36
"21",2006,27652.494
"22",2007,31213.046
"23",2008,27052.927
"24",2009,21835.088
"25",2010,22214.846
"26",2011,24657.299
"27",2012,28188.302
"28",2013,30610.847
"29",2014,28474.477
"30",2015,27858.78
"31",2016,29082.582
"32",2017,25633.577
"33",2018,22344.813
"34",2019,21266.213
