Year	LPUE_Vigo	Total_Catch	EVHOE_Kg_30mn	EVHOE_Nb/30mn	SPPGFS_Kg_30mn	SPPGFS_Nb/30mn	IGFS_Nb_sqKm
1977	NA	19895	NA	NA	NA	NA	NA
1978	NA	23445	NA	NA	NA	NA	NA
1979	NA	29738	NA	NA	NA	NA	NA
1980	NA	38880	NA	NA	NA	NA	NA
1981	NA	39450	NA	NA	NA	NA	NA
1982	NA	35285	NA	NA	NA	NA	NA
1983	NA	38280	NA	NA	NA	NA	NA
1984	NA	36756	NA	NA	NA	NA	NA
1985	NA	35652	NA	NA	NA	NA	NA
1986	286	31883	NA	NA	NA	NA	NA
1987	235	29528	NA	NA	NA	NA	NA
1988	182	28477	NA	NA	NA	NA	NA
1989	210	29950	NA	NA	NA	NA	NA
1990	206	29384	NA	NA	NA	NA	NA
1991	184	24940	NA	NA	NA	NA	NA
1992	188	20942	NA	NA	NA	NA	NA
1993	268	20024	NA	NA	NA	NA	NA
1994	289	21864	NA	NA	NA	NA	NA
1995	410	26684	NA	NA	NA	NA	NA
1996	520	30255	NA	NA	NA	NA	NA
1997	440	29774	1.53	0.89	NA	NA	NA
1998	451	28171	2.01	0.95	NA	NA	NA
1999	428	24988	1.25	1.24	NA	NA	NA
2000	203	20585	0.94	0.98	NA	NA	NA
2001	239	22409	2.34	3.12	6.81	6.81	NA
2002	469	26220	2.46	3.41	6.29	6.29	NA
2003	598	33233	2.27	1.76	9.91	9.91	69.3
2004	563	35150	3.44	3.24	15.96	15.96	94.4
2005	591	33075	2.77	2.04	10.69	10.69	67.5
2006	568	31618	3.17	1.94	11.88	11.88	33.1
2007	611	35334	3.45	1.56	12.21	12.21	21.1
2008	466	31756	3.18	2.36	11.11	11.11	19.4
2009	350	27926	2.6	2.06	12.12	12.12	45.2
2010	298	28880	1.85	2.13	10.18	10.18	83.6
2011	417	28357	3.42	2.46	9.44	9.44	80.8
2012	599	33373	4.47	2.34	13.64	13.64	49.6
2013	649	36855	3.95	1.68	19.41	19.41	60.1
2014	683	36200	2.16	1.7	21.28	21.28	114.9
2015	815	35585	1.95	1.72	19.8	19.8	99.5
